Date,PriceUSDperOz,PriceINRperGm
1990-01,410.118,1082.817415
1990-02,416.543,1099.781074
1990-03,393.661,1039.366685
1990-04,374.929,989.9093688
1990-05,368.855,973.8724404
1990-06,352.657,931.105538
1990-07,361.82,955.298224
1990-08,394.861,1042.534995
1990-09,389.56,1028.538987
1990-10,381.333,1006.817582
1990-11,381.866,1008.22484
1990-12,378.161,998.4426833
1991-01,384.591,1015.419544
1991-02,363.748,960.3886418
1991-03,363.39,959.4434293
1991-04,358.055,945.3576518
1991-05,357.117,942.8810896
1991-06,366.36,967.2849962
1991-07,368.013,971.649343
1991-08,356.721,941.8355474
1991-09,348.46,920.0243743
1991-10,358.826,947.3932909
1991-11,359.96,950.3873437
1991-12,361.875,955.4434382
1992-01,354.436,935.8025574
1992-02,353.853,934.2632868
1992-03,344.641,909.9412282
1992-04,338.728,894.3293815
1992-05,337.039,889.8699854
1992-06,340.784,899.7577523
1992-07,352.452,930.5642851
1992-08,343.603,907.2006402
1992-09,345.3,911.6811584
1992-10,344.277,908.9801743
1992-11,334.924,884.2858393
1992-12,334.657,883.5808903
1993-01,328.993,868.6264678
1993-02,329.31,869.4634297
1993-03,329.974,871.2165611
1993-04,341.948,902.8310129
1993-05,367.045,969.0935731
1993-06,371.914,981.9489903
1993-07,392.034,1035.070985
1993-08,379.795,1002.756865
1993-09,355.561,938.7728478
1993-10,364.005,961.0671881
1993-11,373.939,987.2955131
1993-12,383.243,1011.860475
1994-01,387.11,1022.070354
1994-02,381.658,1007.675666
1994-03,384,1013.859151
1994-04,377.908,997.774698
1994-05,381.343,1006.843985
1994-06,385.714,1018.384554
1994-07,385.45,1017.687525
1994-08,380.207,1003.844652
1994-09,391.348,1033.259768
1994-10,390.164,1030.133703
1994-11,384.377,1014.854528
1994-12,379.48,1001.925184
1995-01,378.738,999.9661123
1995-02,376.745,994.7040777
1995-03,381.82,1008.103388
1995-04,391.339,1033.236006
1995-05,385.231,1017.109309
1995-06,387.618,1023.411605
1995-07,386.138,1019.504023
1995-08,383.502,1012.544302
1995-09,382.931,1011.036715
1995-10,383.202,1011.752225
1995-11,385.209,1017.051223
1995-12,387.445,1022.95484
1996-01,398.695,1052.657745
1996-02,404.919,1069.090712
1996-03,396.512,1046.894062
1996-04,392.87,1037.278241
1996-05,391.99,1034.954814
1996-06,385.245,1017.146272
1996-07,383.457,1012.425491
1996-08,387.51,1023.126457
1996-09,383.29,1011.984568
1996-10,380.909,1005.698113
1996-11,377.869,997.6717279
1996-12,369.338,975.1476851
1997-01,355.025,937.3576694
1997-02,346.4,914.5854424
1997-03,352.311,930.1920087
1997-04,344.707,910.1154853
1997-05,344.1,908.5128486
1997-06,340.805,899.8131978
1997-07,323.78,854.8628018
1997-08,323.998,855.4383781
1997-09,322.616,851.7895413
1997-10,324.863,857.7222014
1997-11,306.345,808.8299
1997-12,288.776,762.4432036
1998-01,289.264,763.7316496
1998-02,297.743,786.1183989
1998-03,295.87,781.1731953
1998-04,308.558,814.6727914
1998-05,298.971,789.360636
1998-06,292.223,771.5441736
1998-07,292.874,773.2629817
1998-08,284.228,750.4353093
1998-09,288.661,762.1395739
1998-10,296.595,783.0873825
1998-11,294.243,776.8774952
1998-12,291.357,769.25771
1999-01,287.333,758.633311
1999-02,287.495,759.0610328
1999-03,286.243,755.7554295
1999-04,282.62,746.1897741
1999-05,276.932,731.1719854
1999-06,261.402,690.1687755
1999-07,256.198,676.4288718
1999-08,256.936,678.3773823
1999-09,264.47,698.2690876
1999-10,311.562,822.6041271
1999-11,293.65,775.3118221
1999-12,283.743,749.154784
2000-01,284.59,751.3910827
2000-02,300.855,794.3348824
2000-03,286.704,756.9725886
2000-04,279.961,739.1693275
2000-05,275.293,726.8446022
2000-06,285.368,753.4452036
2000-07,282.152,744.9541332
2000-08,274.523,724.8116034
2000-09,273.676,722.5753047
2000-10,270.405,713.9390201
2000-11,265.989,702.2796399
2000-12,271.892,717.865084
2001-01,265.934,702.1344257
2001-02,262.018,691.7951745
2001-03,263.273,695.1086986
2001-04,260.75,688.4473271
2001-05,272.057,718.3007266
2001-06,270.738,714.8182261
2001-07,267.707,706.8156034
2001-08,272.657,719.8848816
2001-09,282.478,745.8148574
2001-10,283.322,748.0432353
2001-11,276.248,729.3660488
2001-12,275.992,728.6901427
2002-01,281.764,743.929713
2002-02,295.683,780.679467
2002-03,294.353,777.1679236
2002-04,302.862,799.6338807
2002-05,314.48,830.3084005
2002-06,321.536,848.9380624
2002-07,313.567,827.8978448
2002-08,310.045,818.5988554
2002-09,318.8,841.7143159
2002-10,316.748,836.2965061
2002-11,319.255,842.9156334
2002-12,333.3,879.9980599
2003-01,356.864,942.2131043
2003-02,359.575,949.3708443
2003-03,341.564,901.8171537
2003-04,328.208,866.5538651
2003-05,355.405,938.3609676
2003-06,356.912,942.3398367
2003-07,350.765,926.1101695
2003-08,358.993,947.834214
2003-09,378.859,1000.285584
2003-10,379.093,1000.903404
2003-11,390.2,1030.228752
2003-12,407.674,1076.364624
2004-01,414.495,1094.373825
2004-02,404.73,1068.591704
2004-03,405.976,1071.881465
2004-04,404.85,1068.908535
2004-05,383.953,1013.735059
2004-06,391.78,1034.40036
2004-07,398.441,1051.98712
2004-08,400.133,1056.454437
2004-09,405.402,1070.365957
2004-10,420.21,1109.462901
2004-11,439.059,1159.229127
2004-12,442.974,1169.565738
2005-01,424.08,1119.6807
2005-02,423.43,1117.964532
2005-03,434.355,1146.809353
2005-04,429.14,1133.040406
2005-05,422.903,1116.573116
2005-06,430.302,1136.108386
2005-07,424.745,1121.436472
2005-08,437.773,1155.833755
2005-09,455.936,1203.788765
2005-10,470.107,1241.203864
2005-11,476.668,1258.526598
2005-12,509.423,1345.008256
2006-01,549.433,1450.644987
2006-02,555.518,1466.710958
2006-03,557.215,1471.191476
2006-04,611.853,1615.449904
2006-05,676.769,1786.844906
2006-06,597.898,1578.605101
2006-07,633.093,1671.528988
2006-08,631.557,1667.473552
2006-09,600.15,1584.550962
2006-10,586.648,1548.902196
2006-11,626.825,1654.97985
2006-12,629.513,1662.076864
2007-01,630.352,1664.29204
2007-02,665.103,1756.043653
2007-03,655.891,1731.721595
2007-04,680.008,1795.396702
2007-05,668.31,1764.510961
2007-06,655.714,1731.254269
2007-07,665.266,1756.474015
2007-08,664.53,1754.530785
2007-09,710.645,1876.286293
2007-10,754.48,1992.022011
2007-11,808.311,2134.14975
2007-12,803.618,2121.759019
2008-01,887.784,2343.978991
2008-02,924.283,2440.345775
2008-03,971.055,2563.835932
2008-04,911.6,2406.85938
2008-05,889.125,2347.519577
2008-06,889.536,2348.604723
2008-07,941.167,2484.923895
2008-08,840.388,2218.841313
2008-09,824.92,2178.001799
2008-10,812.815,2146.041473
2008-11,757.85,2000.919681
2008-12,819.94,2164.853313
2009-01,857.726,2264.61811
2009-02,939.763,2481.216972
2009-03,925.989,2444.850056
2009-04,892.663,2356.860811
2009-05,926.855,2447.136519
2009-06,947.807,2502.455209
2009-07,934.272,2466.719314
2009-08,949.5,2506.925166
2009-09,996.443,2630.866807
2009-10,1043.511,2755.13848
2009-11,1126.119,2973.24493
2009-12,1135.012,2996.724746
2010-01,1119.575,2955.967081
2010-02,1095.8,2893.194942
2010-03,1115.554,2945.350602
2010-04,1148.475,3032.270543
2010-05,1204.321,3179.718402
2010-06,1232.382,3253.806688
2010-07,1196,3157.748814
2010-08,1213.464,3203.858283
2010-09,1271.461,3356.985338
2010-10,1343.19,3546.368419
2010-11,1371.784,3621.863962
2010-12,1393.512,3679.231493
2011-01,1360.475,3592.005282
2011-02,1371.313,3620.620401
2011-03,1422.848,3756.686107
2011-04,1474.431,3892.878546
2011-05,1512.188,3992.566775
2011-06,1528.38,4035.317836
2011-07,1568.526,4141.313642
2011-08,1759.5,4645.534313
2011-09,1780.648,4701.370493
2011-10,1667.893,4403.668179
2011-11,1735.977,4583.427519
2011-12,1652.725,4363.620743
2012-01,1656.095,4372.518413
2012-02,1743.095,4602.220877
2012-03,1675.057,4422.582989
2012-04,1648.539,4352.568622
2012-05,1585.114,4185.110245
2012-06,1595.632,4212.880481
2012-07,1592.784,4205.361026
2012-08,1625.682,4292.22024
2012-09,1741.925,4599.131775
2012-10,1746.348,4610.809637
2012-11,1724.352,4552.734517
2012-12,1687.342,4455.018561
2013-01,1671.886,4414.21073
2013-02,1630.688,4305.437373
2013-03,1591.013,4200.685128
2013-04,1485.905,3923.172869
2013-05,1416.143,3738.983176
2013-06,1342.7,3545.074693
2013-07,1284.348,3391.010346
2013-08,1345.048,3551.274019
2013-09,1348.464,3560.293141
2013-10,1314.402,3470.360666
2013-11,1277.417,3372.710716
2013-12,1221.588,3225.307741
2014-01,1243.068,3282.020487
2014-02,1298.713,3428.937655
2014-03,1336.56,3528.863507
2014-04,1299.175,3430.157454
2014-05,1288.913,3403.063125
2014-06,1277.857,3373.87243
2014-07,1312.989,3466.629981
2014-08,1297.005,3424.428094
2014-09,1241.33,3277.431718
2014-10,1223.565,3230.527531
2014-11,1176.413,3106.034076
2014-12,1200.44,3169.47156
2015-01,1249.333,3298.561705
2015-02,1231.1,3250.421877
2015-03,1180.636,3117.183887
2015-04,1198.253,3163.697316
2015-05,1197.684,3162.195009
2015-06,1182.248,3121.439983
2015-07,1131.58,2987.66338
2015-08,1117.525,2950.554551
2015-09,1124.905,2970.039657
2015-10,1157.123,3055.103496
2015-11,1088.388,2873.625348
2015-12,1068.317,2820.632725
2016-01,1095.655,2892.812104
2016-02,1194.893,3154.826048
2016-03,1246.312,3290.585485
2016-04,1241.452,3277.75383
2016-05,1259.755,3326.078476
2016-06,1273.58,3362.580046
2016-07,1337.429,3531.157892
2016-08,1340.861,3540.219258
2016-09,1326.618,3502.61406
2016-10,1268.929,3350.300205
2016-11,1240.293,3274.693771
2016-12,1152.165,3042.013095
2017-01,1192.648,3148.898668
2017-02,1233.39,3256.468068
2017-03,1231.063,3250.324187
2017-04,1267.15,3345.603185
2017-05,1245.25,3287.781531
2017-06,1261.277,3330.096949
2017-07,1235.1,3260.98291
2017-08,1281.72,3384.071747
2017-09,1317.045,3477.338868
2017-10,1280.677,3381.317958
2017-11,1283.189,3387.950287
2017-12,1265.674,3341.706164
2018-01,1332.809,3518.959899
2018-02,1333.775,3521.510388
2018-03,1325.562,3499.825948
2018-04,1335.332,3525.62127
2018-05,1303.618,3441.888121
2018-06,1282.126,3385.143692
2018-07,1238.064,3268.808635
2018-08,1201.859,3173.218087
2018-09,1199.198,3166.19236
2018-10,1214.726,3207.190289
2018-11,1221.275,3224.48134
2018-12,1249.887,3300.024408
2019-01,1291.63,3410.236706
2019-02,1319.755,3484.493968
2019-03,1302.286,3438.371298
2019-04,1287.65,3399.728478
2019-05,1282.46,3386.025538
2019-06,1358.488,3586.759089
2019-07,1414.611,3734.9383
2019-08,1497.102,3952.73584
2019-09,1510.336,3987.677017
2019-10,1494.765,3946.565557
2019-11,1471.921,3886.251498
2019-12,1480.025,3907.648151
2020-01,1560.668,4120.566493
2020-02,1598.818,4221.292344
2020-03,1593.764,4207.948479
2020-04,1680.03,4435.712993
2020-05,1715.697,4529.883083
2020-06,1734.032,4578.292217
2020-07,1840.807,4860.205787
